"Label","OTUs","Genus","Morphology","MajorCategory","MorphoFunctionalGroup"
"hemoth","Hemicentrotus_other_life","Hemicentrotus","other_life","Other Mobile Invertebrates","Other mobile invertebrates"
"hetclu","Xenia/Heteroxenia_clustered","Xenia/Heteroxenia","clustered","Octocoral","Soft coral_clustered"
"hetenc","Heteractis_encrusting","Heteractis","encrusting","Other Sessile Invertebrates","Actiniaria_encrusting"
"hicbus","Hicksonella_bushy","Hicksonella","bushy","Gorgonian","Gorgonian_bushy"
"hlmfol","Halymenia_foliose","Halymenia","foliose","Macroalgae","Macroalgae_foliose"
"holospp","Holothuroidea_spp","Holothuroidea","spp","Other Mobile Invertebrates","Other mobile invertebrates"
"hydarb","Hydonophora_arborescent/Montipora_arborescent (crasinata-like)","Hydonophora","arborescent/Montipora_arborescent (crasinata-like)","Scleractinian","Hard coral_arborescent"
"hydbus","Hydonophora_arborescent/Montipora_bushy (crasinata-like)","Hydonophora","arborescent/Montipora_bushy (crasinata-like)","Scleractinian","Hard coral_bushy"
"hydcom","Hydropuntia_corticated_macrophyte","Hydropuntia","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"hydenc","Hydnophora_encrusting","Hydnophora","encrusting","Scleractinian","Hard coral_encrusting"
"hydmas","Hydnophora_massive","Hydnophora","massive","Scleractinian","Hard coral_massive"
"hypcom","Hypnea_corticated_macrophyte","Hypnea","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"hyrarb","Hydrozoa_arborescent","Hydrozoa","arborescent","Other Sessile Invertebrates","Hydrozoa_arborescent"
"hyrbus","Hydrozoa_bushy","Hydrozoa","bushy","Other Sessile Invertebrates","Hydrozoa_bushy"
"hyrplu","Hydrozoa_plumose","Hydrozoa","plumose","Other Sessile Invertebrates","Hydrozoa_plumose"
"isiarb","Isis_arborescent","Isis","arborescent","Gorgonian","Gorgonian_arborescent"
"isparb","Isopora_arborescent","Isopora","arborescent","Scleractinian","Hard coral_arborescent"
"ispcol","Isopora_columnar","Isopora","columnar","Scleractinian","Hard coral_columnar"
"ispenc","Isopora_encrusting","Isopora","encrusting","Scleractinian","Hard coral_encrusting"
"ispmas","Isopora_massive","Isopora","massive","Scleractinian","Hard coral_massive"
"janart","Jania_articulated_calcareous","Jania","articulated_calcareous","Macroalgae","Macroalgae_articulated_calcareous"
"junwhi","Ellisella/Juncella_whip","Ellisella/Juncella","whip","Gorgonian","Gorgonian_whip"
"laucom","Laurencia_corticated_macrophyte","Laurencia","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"lbamas","Lobactis_massive","Lobactis","massive","Scleractinian","Hard coral_massive"
"lembus","Lemnalia_bushy","Lemnalia","bushy","Octocoral","Soft coral_bushy"
"letenc","Leptastrea_encrusting","Leptastrea","encrusting","Scleractinian","Hard coral_encrusting"
"letmas","Leptastrea_massive","Leptastrea","massive","Scleractinian","Hard coral_massive"
"liaart","Liagora/Neoizziella_articulated_calcareous","Liagora/Neoizziella","articulated_calcareous","Macroalgae","Macroalgae_articulated_calcareous"
"limess","limestone_stable_substrate","limestone","stable_substrate","Stable Substrate","Stable substrate"
"linoth","Linckia_other_life","Linckia","other_life","Other Mobile Invertebrates","Other mobile invertebrates"
"lisenc","Lissoclinum_encrusting","Lissoclinum","encrusting","Other Sessile Invertebrates","Ascidian_encrusting"
"litbus","Litophyton_bushy","Litophyton","bushy","Octocoral","Soft coral_bushy"
"litenc","Lithophyllon_encrusting","Lithophyllon","encrusting","Scleractinian","Hard coral_encrusting"
"litfol","Lithophyllon_foliose","Lithophyllon","foliose","Scleractinian","Hard coral_foliose"
"lobcof","Lobophora_corticated_foliose","Lobophora","corticated_foliose","Macroalgae","Macroalgae_corticated_foliose"
"lobenc","Lobophyllia_encrusting","Lobophyllia","encrusting","Scleractinian","Hard coral_encrusting"
"lobmas","Lobophyllia_massive","Lobophyllia","massive","Scleractinian","Hard coral_massive"
"lohenc","Lohowia_encrusting","Lohowia","encrusting","Octocoral","Soft coral_encrusting"
"loodig","Lobophytum_digitate","Lobophytum","digitate","Octocoral","Soft coral_digitate"
"loolob","Lobophytum_lobate","Lobophytum","lobate","Octocoral","Soft coral_lobate"
"loomas","Lobophytum_massive","Lobophytum","massive","Octocoral","Soft coral_massive"
"lpsenc","Leptoseris_encrusting","Leptoseris","encrusting","Scleractinian","Hard coral_encrusting"
"lpsfol","Leptoseris_foliose","Leptoseris","foliose","Scleractinian","Hard coral_foliose"
"ltrenc","Leptoria_encrustring","Leptoria","encrustring","Scleractinian","Hard coral_encrusting"
"ltrmas","Leptoria_massive","Leptoria","massive","Scleractinian","Hard coral_massive"
"marart","Corallina_articulated_calcareous","Corallina","articulated_calcareous","Macroalgae","Macroalgae_articulated_calcareous"
"masart","others_cca","others.cca","cca","Crustose Coralline Algae","CCA"
"melcof","Melanamansia_corticated_foliose","Melanamansia","corticated_foliose","Macroalgae","Macroalgae_corticated_foliose"
"melfan","Melithaeidae_fan","Melithaeidae","fan","Gorgonian","Gorgonian_fan"
"mercom","Meristotheca_corticated_macrophyte","Meristotheca","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"merenc","Merulinidae_encrusting","Merulinidae","encrusting","Scleractinian","Hard coral_encrusting"
